R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,New York,192261.83
162597.7,151377.59,443898.53,California,191792.06
153441.51,101145.55,407934.54,Florida,191050.39
144372.41,118671.85,383199.62,New York,182901.99
142107.34,91391.77,366168.42,Florida,166187.94
131876.9,99814.71,362861.36,New York,156991.12
134615.46,147198.87,127716.82,California,156122.51
130298.13,145530.06,323876.68,Florida,155752.6
120542.52,148718.95,311613.29,New York,152211.77
123334.88,108679.17,304981.62,California,149759.96
101913.08,110594.11,229160.95,Florida,146121.95
100671.96,91790.61,249744.55,California,144259.4
93863.75,127320.38,249839.44,Florida,141585.52
91992.39,135495.07,252664.93,California,134307.35
119943.24,156547.42,256512.92,Florida,132602.65
114523.61,122616.84,261776.23,New York,129917.04
78013.11,121597.55,264346.06,California,126992.93
94657.16,145077.58,282574.31,New York,125370.37
91749.16,114175.79,294919.57,Florida,124266.9
86419.7,153514.11,0,New York,122776.86
76253.86,113867.3,298664.47,California,118474.03
78389.47,153773.43,299737.29,New York,111313.02
73994.56,122782.75,303319.26,Florida,110352.25
67532.53,105751.03,304768.73,Florida,108733.99
77044.01,99281.34,140574.81,New York,108552.04
64664.71,139553.16,137962.62,California,107404.34
75328.87,144135.98,134050.07,Florida,105733.54
72107.6,127864.55,353183.81,New York,105008.31
66051.52,182645.56,118148.2,Florida,103282.38
65605.48,153032.06,107138.38,New York,101004.64
61994.48,115641.28,91131.24,Florida,99937.59
61136.38,152701.92,88218.23,New York,97483.56
63408.86,129219.61,46085.25,California,97427.84
55493.95,103057.49,214634.81,Florida,96778.92
46426.07,157693.92,210797.67,California,96712.8
46014.02,85047.44,205517.64,New York,96479.51
28663.76,127056.21,201126.82,Florida,90708.19
44069.95,51283.14,197029.42,California,89949.14
20229.59,65947.93,185265.1,New York,81229.06
38558.51,82982.09,174999.3,California,81005.76
28754.33,118546.05,172795.67,California,78239.91
27892.92,84710.77,164470.71,Florida,77798.83
23640.93,96189.63,148001.11,California,71498.49
15505.73,127382.3,35534.17,New York,69758.98
22177.74,154806.14,28334.72,California,65200.33
1000.23,124153.04,1903.93,New York,64926.08
1315.46,115816.21,297114.46,Florida,49490.75
0,135426.92,0,California,42559.73
542.05,51743.15,0,New York,35673.41
0,116983.8,45173.06,California,14681.4
96292.76,117509.71,76419.52,Florida,129460.33
69421.95,95582.47,258551.29,New York,102304.97
47325.98,106778.42,240317.35,New York,74990.7
110821.63,79078.1,101098.59,California,127538.57
83813.08,100043.88,208064.52,New York,123782.61
21419.41,131765.08,138357.63,New York,76003.85
39682.89,99755.27,347851.91,Florida,92195.69
63295.18,132143.7,236310.38,California,86657.23
52752.19,123193.46,0.0,California,80077.81
32498.23,154312.61,279359.83,New York,80000.71
6536.22,101378.89,47994.59,New York,46178.81
88448.29,110663.92,281497.6,Florida,133944.7
95353.43,157503.26,291202.08,New York,132790.37
5189.75,151844.68,77090.82,Florida,41738.0
2190.56,139039.04,250593.38,Florida,54263.53
90143.76,164003.94,619279.43,Florida,127065.86
66881.22,94563.73,203783.55,New York,115533.74
114778.96,121871.64,389940.77,New York,145361.09
64080.81,109504.92,321844.81,California,110491.0
58086.28,142168.59,298683.51,New York,98978.49
55903.86,80752.28,0.0,New York,96059.01
23906.29,146720.06,152537.67,New York,64556.69
43606.18,117282.04,310037.87,Florida,81214.16
24984.79,93814.06,0.0,New York,67167.01
89394.29,119123.32,181803.32,California,123596.88
20615.82,153042.21,302055.04,Florida,69637.31
137398.95,120085.34,237287.72,New York,164316.11
19324.88,143247.17,263261.74,Florida,76878.56
101235.32,101366.3,178346.58,Florida,126890.84
59086.85,143908.52,62015.15,New York,80411.53
79128.11,149094.32,229477.36,New York,127633.62
34317.7,138475.66,358365.19,California,91379.16
154996.96,137068.13,191110.47,California,178081.73
18426.62,150449.56,371444.02,New York,71005.04
56303.05,108515.9,76344.8,Florida,101934.8
159913.63,114538.5,119776.87,California,181954.16
76415.41,146598.8,207426.51,New York,137622.12
77982.4,82336.29,206844.9,Florida,129482.42
91751.4,71884.01,181590.94,New York,125934.42
89243.81,180114.51,398250.74,Florida,119632.61
46598.05,118260.26,0.0,California,86029.26
91230.79,96829.78,229635.25,California,115721.75
39606.31,92901.16,67804.87,New York,72896.21
136521.17,146449.29,137915.69,New York,153456.82
82598.34,105924.84,195561.36,Florida,112313.56
62960.36,107882.49,220936.88,Florida,100317.87
100788.21,66106.93,262600.31,New York,147424.64
66849.31,110956.83,54708.89,New York,101548.65
51627.46,165527.92,158491.59,California,84761.12
149212.69,112073.89,172546.16,California,173665.93
99981.79,180551.5,238487.7,New York,118876.38
51717.58,156483.95,0.0,California,81328.9
105489.01,137983.5,466841.06,California,139713.73
143840.02,158046.96,0.0,Florida,190000.36
77546.08,148321.79,398001.12,California,120079.77
56212.61,124493.18,291183.45,New York,118892.24
0.0,117134.7,282247.5,California,48742.16
34275.07,106227.36,0.0,California,63666.44
51617.67,127102.63,139675.87,California,99629.57
116981.87,161632.88,309431.19,New York,154042.7
0.0,159885.94,406032.99,California,61565.46
96084.95,78978.89,25309.29,Florida,129325.62
111229.29,143908.31,212495.57,New York,149911.85
104710.18,112739.02,178212.61,California,130888.78
64624.12,177502.73,347042.45,New York,125859.03
108741.94,139846.25,209542.49,Florida,131747.04
88468.03,167810.92,221929.4,California,123677.51
84853.12,107283.96,278711.55,New York,130928.14
1849.81,123536.05,246118.67,New York,53343.27
43538.51,159068.97,248663.95,Florida,100771.66
37745.13,88838.44,141511.56,California,68792.87
88386.24,98400.39,270670.33,Florida,126854.45
35236.17,120089.59,375525.11,New York,82981.31
76886.7,148623.32,222849.89,New York,107307.99
177134.29,132611.83,471692.02,California,195333.98
139009.06,101882.14,105028.51,New York,160171.88
35563.89,104719.76,336032.97,New York,69088.58
89251.32,173382.51,280193.13,New York,133607.34
68141.98,139342.48,228221.86,New York,116687.05
70376.66,113516.89,3630.92,California,115869.53
85475.68,155529.91,252483.35,New York,138622.43
73959.89,122647.7,173130.06,California,96977.08
35164.06,95376.75,251695.47,California,87128.13
36101.4,112916.59,398809.47,Florida,88064.81
116303.05,105553.69,142836.32,Florida,167373.94
103048.09,159305.29,158526.86,California,130162.78
121817.39,72563.87,318293.04,New York,153779.06
141990.1,123399.75,329852.43,New York,173126.38
64875.62,160720.99,226525.91,California,99989.01
124737.12,81371.33,255405.93,New York,147073.96
70873.42,147836.67,156949.05,Florida,103322.78
50854.04,150337.65,217180.16,New York,88650.93
8555.3,116032.25,448877.14,New York,66438.14
71830.09,96378.84,62597.61,New York,107485.66
81969.46,99842.65,307836.7,California,122481.71
4869.95,159256.55,314096.88,Florida,49579.1
95161.87,139402.72,0.0,California,136550.98
0.0,98864.28,101520.14,California,60769.56
83870.22,123432.23,105095.47,New York,132189.5
113784.13,121123.51,390188.96,Florida,152731.78
148560.49,162378.53,451469.22,New York,190117.6
14209.95,68263.7,324978.17,New York,63124.79
16518.68,154317.47,206024.25,California,65332.69
35962.48,128846.09,204943.21,California,88284.78
80319.82,171135.7,202005.11,California,133842.43
147318.27,147222.86,118808.53,California,160050.1
102741.26,127331.8,417918.22,California,146521.91
0.0,119511.84,64417.99,New York,42047.81
0.0,176734.08,451209.63,California,78831.66
46256.47,115431.08,230338.41,California,93854.62
46275.98,123746.31,192178.62,New York,92311.31
55005.55,107820.29,158659.07,New York,101655.75
15051.74,113743.69,284644.11,California,64734.85
132842.63,102583.51,0.0,Florida,172098.04
1946.75,87769.93,15703.62,New York,51851.11
108750.44,80334.26,349489.37,Florida,144992.88
121634.3,134646.4,402668.75,New York,145813.36
36596.32,163219.97,259695.89,New York,83073.24
30673.56,99726.31,0.0,Florida,68227.71
90866.5,142340.63,99386.63,Florida,134005.29
164572.42,141261.97,400800.01,California,191356.27
111690.47,96636.02,0.0,California,139120.16
193847.93,115718.45,216704.74,New York,211026.11
93811.8,128285.46,73045.02,California,121340.72
52351.6,110182.17,159073.12,New York,94172.74
123442.68,74402.09,0.0,New York,161131.35
101723.03,103859.38,185600.22,California,125959.62
63275.68,138766.86,170374.59,Florida,116801.92
95155.55,78914.78,124066.4,California,136074.31
61503.07,90653.81,211109.73,New York,104394.69
34148.73,76634.95,142363.63,California,89454.28
190501.44,90637.76,180157.24,California,219405.24
3984.42,198895.99,167862.88,New York,54679.69
78707.97,116242.95,218728.62,New York,124802.76
116239.7,156612.76,0.0,Florida,132755.31
45365.15,192664.76,229063.87,New York,92175.95
25860.58,111618.06,183275.92,California,84023.01
92821.55,113694.73,82999.06,California,127009.0
16869.87,146973.65,188640.62,Florida,58672.37
9719.84,78169.65,284389.41,California,58045.75
130597.8,111166.19,268214.02,New York,159335.46
123856.66,124512.88,229220.81,Florida,167884.42
77706.76,99313.7,407237.27,California,109747.14
78302.85,76145.91,277834.39,New York,134771.53
72774.23,96415.34,100903.7,California,123667.78
119815.52,70285.77,56117.93,California,150886.61
40743.15,126524.84,119577.51,New York,80820.04
128595.71,127737.48,263360.93,California,175909.85
59882.42,123988.48,232699.51,Florida,106761.66
4688.69,121196.63,131273.73,California,49972.61
178166.15,86174.53,50117.07,New York,187175.07
156080.94,140975.0,142932.18,Florida,181496.68
2369.17,101176.61,181060.19,New York,60125.46
119623.37,97252.77,216444.63,Florida,157022.13
101834.18,157020.86,339617.53,New York,139572.81
107095.82,113486.55,225801.1,California,128437.78
192139.62,101015.66,167266.22,Florida,206427.2
104689.63,122130.08,214627.41,California,148976.78
132676.94,146369.76,0.0,Florida,143865.39
131791.78,114104.73,227366.51,New York,177525.86
95768.42,125374.61,418472.47,California,125627.73
0.0,109205.45,67405.91,Florida,44448.31
137763.65,185107.36,167099.41,Florida,153568.73
64597.45,129304.21,0.0,New York,96042.12
37151.36,93438.8,83800.4,New York,83905.8
62373.6,94899.3,177718.25,New York,111388.16
63997.77,119972.7,292719.58,New York,105579.31
76189.92,152913.18,170882.81,Florida,98159.31
77082.56,106990.22,138518.57,Florida,117280.61
96814.22,86697.26,280209.25,California,118386.26
81781.72,70564.76,594471.01,Florida,125418.86
102482.62,126972.96,27527.25,California,128860.32
124873.49,79911.47,124338.46,Florida,156790.11
122961.83,97753.43,223704.48,Florida,153067.81
45048.76,146515.1,215370.54,California,98127.6
79745.54,125709.25,420620.9,New York,120098.43
61514.55,88923.89,121135.4,Florida,92378.95
100730.28,150196.01,0.0,Florida,126415.37
84156.12,117115.66,0.0,California,115042.02
131815.64,126645.0,216646.76,Florida,156872.02
82342.71,154250.53,182411.93,Florida,118851.82
92284.79,116175.38,162035.76,California,123701.93
157642.17,105076.02,442349.45,New York,180792.82
66062.28,108886.54,347431.23,Florida,104973.07
159203.12,81182.22,0.0,Florida,171412.61
113577.93,134206.58,280976.32,Florida,143715.66
21602.77,118166.34,287689.24,California,69148.86
144119.11,90374.78,69220.87,California,154619.58
139327.6,119066.08,346286.31,California,167211.42
19799.54,111076.43,213846.74,New York,67487.74
12772.87,81789.32,284408.19,New York,69901.68
28491.76,146050.34,3066.89,New York,68191.69
20196.91,95355.2,406999.26,California,83983.55
24026.12,131666.15,0.0,California,70190.22
45520.79,133457.43,171879.2,California,88321.67
142037.41,145679.34,104936.88,New York,163848.06
10769.05,90631.79,287549.85,Florida,55530.71
51298.21,109002.49,380432.79,California,107077.33
151048.25,159707.84,256055.02,California,172990.69
131213.34,136859.14,467161.09,California,163075.03
64726.44,157880.94,421183.01,Florida,111260.1
103271.01,164817.07,497765.78,Florida,138707.66
97479.74,105432.38,569972.9,California,140499.39
14138.53,154584.96,108925.31,Florida,60214.32
50898.66,127213.48,0.0,New York,84739.74
89705.67,118799.58,271893.44,New York,115762.23
7179.08,127570.08,337788.11,New York,75574.35
3581.84,157871.66,264207.63,Florida,63057.21
81868.02,136124.15,59237.53,Florida,120682.44
41127.39,167303.22,24540.12,California,79214.65
127011.5,136422.05,166158.07,Florida,163495.86
0.0,111291.9,75476.48,California,64395.42
143592.09,82339.63,144123.27,California,148979.34
85271.51,114154.01,360376.76,Florida,114096.97
4987.89,75948.09,356987.59,New York,65206.64
93263.1,149920.8,239933.21,New York,124930.24
53227.53,125482.25,153196.55,New York,92132.27
94096.88,105014.57,212149.97,New York,146357.64
64036.55,123223.87,259463.45,Florida,123971.0
